date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:30	571927/571927	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:30%20GMT	https://el-gr.facebook.com/IToy	/root/websites/Fcaebook/el-gr.facebook.com/IToy	(from https://el-gr.facebook.com/)
14:34:31	571929/571929	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:31%20GMT	https://el-gr.facebook.com/S+p0	/root/websites/Fcaebook/el-gr.facebook.com/S+p0	(from https://el-gr.facebook.com/)
14:34:32	571901/571901	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:32%20GMT	https://el-gr.facebook.com/km2J	/root/websites/Fcaebook/el-gr.facebook.com/km2J	(from https://el-gr.facebook.com/)
14:34:33	571901/571901	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:33%20GMT	https://el-gr.facebook.com/DMK2	/root/websites/Fcaebook/el-gr.facebook.com/DMK2	(from https://el-gr.facebook.com/)
14:34:34	571927/571927	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:34%20GMT	https://el-gr.facebook.com/ZLbS	/root/websites/Fcaebook/el-gr.facebook.com/ZLbS	(from https://el-gr.facebook.com/)
14:34:35	571940/571940	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:35%20GMT	https://el-gr.facebook.com/qZW+	/root/websites/Fcaebook/el-gr.facebook.com/qZW+	(from https://el-gr.facebook.com/)
14:34:36	571938/571938	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:36%20GMT	https://el-gr.facebook.com/XJyV	/root/websites/Fcaebook/el-gr.facebook.com/XJyV	(from https://el-gr.facebook.com/)
14:34:38	529/529	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Nov%202018%2013:34:37%20GMT	https://es-la.facebook.com/robots.txt		(from https://nb-no.facebook.com/)
14:34:39	1032/1032	---MCZ	200	added ('OK')	text/xml	date:Thu,%2008%20Nov%202018%2013:34:38%20GMT	https://es-la.facebook.com/osd.xml	/root/websites/Fcaebook/es-la.facebook.com/osd.xml	(from https://es-la.facebook.com/)
14:34:40	538176/538176	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:39%20GMT	https://es-la.facebook.com/legal/terms/update	/root/websites/Fcaebook/es-la.facebook.com/legal/terms/update.html	(from https://es-la.facebook.com/)
14:34:41	564502/564502	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:40%20GMT	https://es-la.facebook.com/about/privacy/update	/root/websites/Fcaebook/es-la.facebook.com/about/privacy/update.html	(from https://es-la.facebook.com/)
14:34:42	526917/526917	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:41%20GMT	https://es-la.facebook.com/r.php	/root/websites/Fcaebook/es-la.facebook.com/r.html	(from https://es-la.facebook.com/)
14:34:42	514414/514414	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2013:34:42%20GMT	https://es-la.facebook.com/policies/cookies/	/root/websites/Fcaebook/es-la.facebook.com/policies/cookies/index.html	(from https://es-la.facebook.com/)
14:34:42	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:42%20GMT	https://es-la.facebook.com/pages/create/?ref_type=registration_form	/root/websites/Fcaebook/es-la.facebook.com/pages/create/indexf949.html	(from https://es-la.facebook.com/)
14:34:42	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2008%20Nov%202018%2013:34:42%20GMT	https://es-la.facebook.com/find-friends?ref=pf	/root/websites/Fcaebook/es-la.facebook.com/find-friends.c730c2.delayed	(from https://es-la.facebook.com/)
